Federative_Unit,NM_MUN,Lula_votes,Lula_per,Bolsonaro_votes,Bolsonaro_%
Acre,Acrelandia,1460,21.54,5317,78.46
Acre,Assis Brasil,1895,41.09,2717,58.91
Acre,Brasileia,3958,29.21,9593,70.79
Acre,Bujari,1958,29.44,4693,70.56
Acre,Capixaba,1497,27.42,3963,72.58
Acre,Cruzeiro Do Sul,9733,23.36,31936,76.64
Acre,Epitaciolandia,2464,26.8,6729,73.2
Acre,Feijo,7113,52.7,6383,47.3
Acre,Jordao,1980,58.01,1433,41.99
Acre,Mancio Lima,2708,29.96,6331,70.04
Acre,Manoel Urbano,2047,41.47,2889,58.53
Acre,Marechal Thaumaturgo,2742,42.5,3710,57.5
Acre,Placido De Castro,2306,27.19,6176,72.81
Acre,Porto Acre,2317,23.88,7384,76.12
Acre,Porto Walter,2093,52.87,1866,47.13
Acre,Rio Branco,53873,27.49,142090,72.51
Acre,Rodrigues Alves,1455,19.49,6011,80.51
Acre,Santa Rosa Do Purus,1217,51.92,1127,48.08
Acre,Sena Madureira,4976,26.78,13606,73.22
Acre,Senador Guiomard,3338,25.98,9512,74.02
Acre,Tarauaca,6802,42.86,9067,57.14
Acre,Xapuri,3634,41.06,5217,58.94
