Federative_Unit,NM_MUN,Lula_votes,Lula_per,Jair_votes,Jair_per
Acre,Acrelândia,1460,21.54,5317,78.46
Acre,Assis Brasil,1895,41.09,2717,58.91
Acre,Brasiléia,3958,29.21,9593,70.79
Acre,Bujari,1958,29.44,4693,70.56
Acre,Capixaba,1497,27.42,3963,72.58
Acre,Cruzeiro Do Sul,9733,23.36,31936,76.64
Acre,Epitaciolândia,2464,26.8,6729,73.2
Acre,Feijó,7113,52.7,6383,47.3
Acre,Jordão,1980,58.01,1433,41.99
Acre,Mâncio Lima,2708,29.96,6331,70.04
Acre,Manoel Urbano,2047,41.47,2889,58.53
Acre,Marechal Thaumaturgo,2742,42.5,3710,57.5
Acre,Plácido De Castro,2306,27.19,6176,72.81
Acre,Porto Acre,2317,23.88,7384,76.12
Acre,Porto Walter,2093,52.87,1866,47.13
Acre,Rio Branco,53873,27.49,142090,72.51
Acre,Rodrigues Alves,1455,19.49,6011,80.51
Acre,Santa Rosa Do Purus,1217,51.92,1127,48.08
Acre,Sena Madureira,4976,26.78,13606,73.22
Acre,Senador Guiomard,3338,25.98,9512,74.02
Acre,Tarauacá,6802,42.86,9067,57.14
Acre,Xapuri,3634,41.06,5217,58.94
Alagoas,Água Branca,9400,90.35,1004,9.65
Alagoas,Anadia,6166,75.33,2019,24.67
Alagoas,Arapiraca,61009,52.74,54674,47.26
Alagoas,Atalaia,13340,63.88,7544,36.12
Alagoas,Barra De Santo Antônio,5155,58.97,3586,41.03
Alagoas,Barra De São Miguel,2699,48.46,2871,51.54
Alagoas,Batalha,6393,68.19,2982,31.81
Alagoas,Belém,2406,73.09,886,26.91
Alagoas,Belo Monte,3113,74.65,1057,25.35
Alagoas,Boca Da Mata,7724,59.04,5359,40.96
Alagoas,Branquinha,4041,72.01,1571,27.99
Alagoas,Cacimbinhas,4147,74.23,1440,25.77
Alagoas,Cajueiro,6416,68.2,2991,31.8
Alagoas,Campestre,2695,71.22,1089,28.78
Alagoas,Campo Alegre,11486,65.64,6012,34.36
Alagoas,Campo Grande,5048,80.83,1197,19.17
Alagoas,Canapi,7473,84.56,1365,15.44
Alagoas,Capela,5228,59.74,3523,40.26
Alagoas,Carneiros,3888,82.76,810,17.24
Alagoas,Chã Preta,3126,76.45,963,23.55
Alagoas,Coité Do Nóia,5033,78.51,1378,21.49
Alagoas,Colônia Leopoldina,5286,54.77,4366,45.23
Alagoas,Coqueiro Seco,2270,61.09,1446,38.91
Alagoas,Coruripe,12675,46.65,14497,53.35
Alagoas,Craíbas,11494,78.96,3062,21.04
Alagoas,Delmiro Gouveia,22688,81.79,5050,18.21
Alagoas,Dois Riachos,4705,76.32,1460,23.68
Alagoas,Estrela De Alagoas,6374,84.15,1201,15.85
Alagoas,Feira Grande,10346,77.71,2967,22.29
Alagoas,Feliz Deserto,1597,69.83,690,30.17
Alagoas,Flexeiras,2795,49.59,2841,50.41
Alagoas,Girau Do Ponciano,15744,81.77,3511,18.23
Alagoas,Ibateguara,4916,64.04,2761,35.96
Alagoas,Igaci,10837,80.49,2627,19.51
Alagoas,Igreja Nova,9594,76.52,2944,23.48
Alagoas,Inhapi,7228,83.9,1387,16.1
Alagoas,Jacaré Dos Homens,2788,81.07,651,18.93
Alagoas,Jacuípe,2722,72.16,1050,27.84
Alagoas,Japaratinga,2300,45.4,2766,54.6
Alagoas,Jaramataia,2802,78.66,760,21.34
Alagoas,Jequiá Da Praia,2832,49.81,2854,50.19
Alagoas,Joaquim Gomes,6755,71.06,2751,28.94
Alagoas,Jundiá,1756,63.49,1010,36.51
Alagoas,Junqueiro,9065,66.02,4665,33.98
Alagoas,Lagoa Da Canoa,8000,70.93,3278,29.07
Alagoas,Limoeiro De Anadia,10488,75.9,3331,24.1
Alagoas,Maceió,204887,42.82,273549,57.18
Alagoas,Major Isidoro,7106,67.89,3361,32.11
Alagoas,Mar Vermelho,1871,71.33,752,28.67
Alagoas,Maragogi,6924,42.28,9451,57.72
Alagoas,Maravilha,4326,79.41,1122,20.59
Alagoas,Marechal Deodoro,13267,44.48,16560,55.52
Alagoas,Maribondo,4770,66.3,2425,33.7
Alagoas,Mata Grande,9251,82.4,1976,17.6
Alagoas,Matriz De Camaragibe,5615,45.22,6803,54.78
Alagoas,Messias,5542,58.47,3936,41.53
Alagoas,Minador Do Negrão,2489,73.88,880,26.12
Alagoas,Monteirópolis,3086,77.42,900,22.58
Alagoas,Murici,8202,62.95,4827,37.05
Alagoas,Novo Lino,3065,49.98,3067,50.02
Alagoas,Olho D'Água Das Flores,7232,64.93,3906,35.07
Alagoas,Olho D'Água Do Casado,4553,88.41,597,11.59
Alagoas,Olho D'Água Grande,2637,82.56,557,17.44
Alagoas,Olivença,5074,75.18,1675,24.82
Alagoas,Ouro Branco,5393,79.2,1416,20.8
Alagoas,Palestina,2354,78.15,658,21.85
Alagoas,Palmeira Dos Índios,23869,63.93,13468,36.07
Alagoas,Pão De Açúcar,9656,76.5,2966,23.5
Alagoas,Pariconha,5771,91.13,562,8.87
Alagoas,Paripueira,3742,47.19,4187,52.81
Alagoas,Passo De Camaragibe,5016,59.69,3388,40.31
Alagoas,Paulo Jacinto,3059,71.04,1247,28.96
Alagoas,Penedo,18554,63.83,10513,36.17
Alagoas,Piaçabuçu,6131,67.05,3013,32.95
Alagoas,Pilar,11002,55.66,8763,44.34
Alagoas,Pindoba,1261,67.98,594,32.02
Alagoas,Piranhas,11134,84.84,1990,15.16
